id;age_years;age_years_full;sex;cb;experimenter;order;condition;trial;obj.pair;consis;hierarchy_dx_coin;hierarchy_x_coin;fb_control;res_c;res_t;c_correct;t_correct
49;5,78630136986301;5;m;CB_24;Isa;nca nca;dual_identity;2;XC;I;1;1;1;left;self;0;0
49;5,78630136986301;5;m;CB_24;Isa;nca nca;control;1;XC;I;1;1;NA;right;wind;1;1
49;5,78630136986301;5;m;CB_24;Isa;nca nca;control;2;CX;C;1;1;NA;left;self;1;1
49;5,78630136986301;5;m;CB_24;Isa;nca nca;change_of_location;1;0M;C;1;1;1;right;wind;1;0
49;5,78630136986301;5;m;CB_24;Isa;nca nca;change_of_location;2;M0;I;1;1;1;left;self;0;0
52;7,80000000000000;7;f;CB_27;Isa;nca nca;dual_identity;1;CX;I;1;1;1;left;wind;1;1
52;7,80000000000000;7;f;CB_27;Isa;nca nca;dual_identity;2;CX;C;1;1;1;left;self;1;1
52;7,80000000000000;7;f;CB_27;Isa;nca nca;control;1;XC;C;1;1;NA;NA;self;NA;1
52;7,80000000000000;7;f;CB_27;Isa;nca nca;control;2;XC;I;1;1;NA;right;wind;1;1
52;7,80000000000000;7;f;CB_27;Isa;nca nca;change_of_location;1;0M;I;1;1;1;right;wind;1;1
52;7,80000000000000;7;f;CB_27;Isa;nca nca;change_of_location;2;0M;C;1;1;1;right;self;1;1
53;6,93424657534247;6;f;CB_28;Isa;nca nca;dual_identity;1;XC;I;0;1;1;NA;NA;NA;NA
53;6,93424657534247;6;f;CB_28;Isa;nca nca;dual_identity;2;XC;C;0;1;1;NA;NA;NA;NA
53;6,93424657534247;6;f;CB_28;Isa;nca nca;control;1;CX;C;0;1;NA;left;self;1;1
53;6,93424657534247;6;f;CB_28;Isa;nca nca;control;2;CX;I;0;1;NA;left;wind;1;1
53;6,93424657534247;6;f;CB_28;Isa;nca nca;change_of_location;1;M0;I;0;1;1;left;self;0;0
53;6,93424657534247;6;f;CB_28;Isa;nca nca;change_of_location;2;M0;C;0;1;1;left;self;0;1
56;5,43835616438356;5;m;CB_31;Isa;nca nca;dual_identity;1;CX;I;1;1;1;left;wind;1;1
56;5,43835616438356;5;m;CB_31;Isa;nca nca;dual_identity;2;XC;C;1;1;1;right;self;1;1
56;5,43835616438356;5;m;CB_31;Isa;nca nca;control;1;XC;C;1;1;NA;right;wind;1;0
56;5,43835616438356;5;m;CB_31;Isa;nca nca;control;2;CX;I;1;1;NA;left;wind;1;1
56;5,43835616438356;5;m;CB_31;Isa;nca nca;change_of_location;1;0M;I;1;1;1;right;wind;1;1
56;5,43835616438356;5;m;CB_31;Isa;nca nca;change_of_location;2;M0;C;1;1;1;left;wind;0;0
57;4,94246575342466;4;f;CB_32;Isa;nca nca;dual_identity;1;XC;I;0;1;1;NA;NA;NA;NA
57;4,94246575342466;4;f;CB_32;Isa;nca nca;dual_identity;2;CX;C;0;1;1;NA;NA;NA;NA
57;4,94246575342466;4;f;CB_32;Isa;nca nca;control;1;CX;C;0;1;NA;left;self;1;1
57;4,94246575342466;4;f;CB_32;Isa;nca nca;control;2;XC;I;0;1;NA;right;wind;1;1
57;4,94246575342466;4;f;CB_32;Isa;nca nca;change_of_location;1;M0;I;0;1;1;left;self;0;0
57;4,94246575342466;4;f;CB_32;Isa;nca nca;change_of_location;2;0M;C;0;1;1;left;wind;0;0
58;6,82191780821918;6;m;CB_15;Isa;acn acn;dual_identity;1;XC;I;1;1;1;right;wind;1;1
58;6,82191780821918;6;m;CB_15;Isa;acn acn;dual_identity;2;CX;C;1;1;1;left;self;1;1
58;6,82191780821918;6;m;CB_15;Isa;acn acn;control;1;XC;C;1;1;NA;right;self;1;1
58;6,82191780821918;6;m;CB_15;Isa;acn acn;control;2;CX;I;1;1;NA;left;self;1;0
58;6,82191780821918;6;m;CB_15;Isa;acn acn;change_of_location;1;M0;I;1;1;1;right;wind;1;1
58;6,82191780821918;6;m;CB_15;Isa;acn acn;change_of_location;2;0M;C;1;1;1;right;wind;1;0
59;6,67671232876712;6;m;CB_16;Joana;acn acn;dual_identity;1;CX;I;1;1;1;left;wind;1;1
59;6,67671232876712;6;m;CB_16;Joana;acn acn;dual_identity;2;XC;C;1;1;1;right;self;1;1
59;6,67671232876712;6;m;CB_16;Joana;acn acn;control;1;CX;C;1;1;NA;right;wind;0;0
59;6,67671232876712;6;m;CB_16;Joana;acn acn;control;2;XC;I;1;1;NA;left;self;0;0
