n;sim;p;comp.sign;red.null.p;IE.belief.age.p;IE.belief.age.sign;red.null.sign
108;55;1,05893212544237e-06;TRUE;4,04406563264979e-06;5,62999372181249e-07;TRUE;TRUE
108;56;1,92789042838483e-01;FALSE;2,43806331519092e-04;1,89584521903336e-01;FALSE;TRUE
108;57;1,94574901032371e-03;TRUE;6,47812769909406e-03;0,00000000000000e+00;TRUE;TRUE
108;58;3,96741966454999e-04;TRUE;1,85924599949081e-04;4,42395972526429e-04;TRUE;TRUE
108;59;1,33296466861482e-02;TRUE;8,11595300015277e-02;0,00000000000000e+00;TRUE;FALSE
108;60;8,17847666657104e-04;TRUE;4,96151582779811e-04;1,20372807523260e-03;TRUE;TRUE
108;61;1,22634577235180e-04;TRUE;1,06593396513861e-04;2,14644471916984e-04;TRUE;TRUE
108;62;6,10327287512514e-03;TRUE;1,65351382967554e-02;5,99917031991496e-03;TRUE;TRUE
108;63;1,08123080882631e-02;TRUE;1,18340501446320e-02;8,82902796380169e-03;TRUE;TRUE
108;64;7,63709089766265e-02;FALSE;1,25916163202037e-04;0,00000000000000e+00;TRUE;TRUE
108;65;5,41121892769144e-03;TRUE;2,42329266371337e-04;5,63912551680547e-03;TRUE;TRUE
108;66;5,21086197878467e-04;TRUE;6,45549887170623e-06;2,61275321450965e-04;TRUE;TRUE
108;67;7,92125669911076e-02;FALSE;7,86796826976431e-07;6,75762793025704e-02;FALSE;TRUE
108;68;4,83488765099309e-02;TRUE;1,10209843742794e-06;4,09608564516297e-02;TRUE;TRUE
108;69;1,08244307222448e-03;TRUE;1,71184448537559e-05;0,00000000000000e+00;TRUE;TRUE
108;70;8,32643219276200e-03;TRUE;6,25128844509860e-05;7,89977431487962e-03;TRUE;TRUE
108;71;2,46879665222389e-03;TRUE;2,50158793708696e-03;2,26504863875714e-03;TRUE;TRUE
108;72;6,73757411816569e-03;TRUE;1,76707613216905e-04;6,35524197534715e-03;TRUE;TRUE
108;73;2,10209863921848e-02;TRUE;1,16715200313998e-02;1,73119902146223e-02;TRUE;TRUE
108;74;2,40119018774756e-02;TRUE;1,75105978216228e-02;2,54990230934316e-02;TRUE;TRUE
108;75;1,86982748196727e-04;TRUE;5,14224760417650e-07;1,89146762695347e-04;TRUE;TRUE
108;76;5,43644916925622e-02;FALSE;3,08737432538880e-08;4,68086331354716e-02;TRUE;TRUE
108;77;2,97676750284258e-05;TRUE;7,55345644871428e-07;2,34352894172992e-05;TRUE;TRUE
108;78;3,07683063579962e-02;TRUE;6,46449505345359e-08;2,28660353853448e-02;TRUE;TRUE
108;79;1,32509346661103e-03;TRUE;1,10325557000382e-05;8,36440622747688e-04;TRUE;TRUE
108;80;6,19450471285738e-02;FALSE;8,80322596729967e-07;6,58941771045820e-02;FALSE;TRUE
